sentiment,text,length
1,"Initial charge took about 3 hours. Batteries and charger got quite warm, maybe normal first time around.Looks nice and easy to use. Thumbs up.After using the unit and batteries for a while now I finally trashed it. Had to recharge everytime before using and batteries would run down in less than a week without use. Gave a full charge, checked voltage and set out on desk for 7 days and they died without even using. Wouldn't buy Sony batteries again, cheap $ store batteries last a lot longer. Wasted money . . .",513
1,"I kept looking at my watch. I kept thinking, ""this seems like a good time for the movie to end."" But it didn't. Like the Energizer Bunny, it kept on and on. I tried to like it, really I did, but I found it to be pretentious fluff, lengthy at that. It simply took too long to get to whatever was supposed to be the point. As I left the theatre, I just knew the critics were going to love it.",390
1,"I've used this battery backup for less then a year and it no longer works. When the power goes off, so does everything plugged into this Tripp Lite battery backup. THEN the battery backup kicks in and starts beeping. Real useful. Total waste of money and could ruin your expensive computer equipment when you think that you are being protected from power surges and outages.",374
1,This flag is very cheap in construction. Flag itself is very thin and could never be used on a moving vehicle as it would surely shred very quickly. The field of my flag also has a stain on it.,193
1,"But I thought it was the whole season of Ponderosa, but it was only half the season. I was very disappointed, but still enjoyed the episodes I did get!",151
1,"I thought this was going to be a great book on designing a play area for the kids, but I was truly disappointed. There are great ideas in this book, but anyone looking for a ""build it yourself"" guide needs to keep looking as there are no directions to be found; only listings on how to order the ""blueprints"" of the various items you wanted directions on how to build in the first place.As I said, this book has some great ideas, just no directions included.",458
1,I found it to be useless. It did not even have enough power to suck up an ant.,78
1,Don't waste your money!! I can not even explain how BAD this video is... Half the video is this gentleman showing you how to anchor the bands?? and from there i just gets worse...,179
1,"As a huge long time T-Bone Burnett fan (I saw him in Austin in '83 or '84), I was eagerly awaiting the newest CD. I was very disappointed. The songs were just not that good. I found the CD ponderous and claustrophobic (but I am not thrilled with Sam Phillips, so take it for what it's worth). I have only listened to it twice (so I am giving it one more listen), but I urge people to purchase Twenty Twenty. An excellent album with a good booklet to go along with it.",467
1,1. You can't use protectors.2. A mat & deck box would be easier.3. It's as heavy as someone standing on your arm.4. It is hard to put cards in the last slots.5. You will be laughed at and bullied.,196
1,"zero stars - pure propaganda - not a movie JUST SOCIALIST, FEMINIST HOGWASH!!!! -----does hollywood think centrists are as stupid as they are???? VERY transparent.",163
1,"My wife and I heard the Dixie Chicks on Good Morning America performing two of the songs from their new album. All of the political drama aside, the songs I heard were nothing more than contemporary pop country garbage. My wife, who is more of a Chicks fan than I agreed that it did not even sound like their type of music. Their first two albums showed merit and a touch of true country style. I wouldn't be surprised to see this album hitting the bargain bin very soon.",471
1,"Was trying to write a mumps interpreter. This book ended up being not so useful. Early in the book, he has a completely wrong definition of ""bootstrap loader."" This bothered me, because mumps is such an old language, you would think someone that knows mumps would know about the meaning of that phrase. In any case, I believe the author knows Mumps completely, but I did not find the book energizing or inspiring.",413
1,"I have to rate the product according to my experience. I ended up being allergic to the main ingredient in this product. It was way too strong for my skin and I quickly began to start scratching for no apparent reason to me and having weird burning sensations, etc. on my face. I would recommend that you make sure your skin can handle this ingredient before purchasing this product.",383
1,These timers are horrible. They are not worth FREE ... if they gave them away you would NOT want one. They are problematic and setting them is beyond hard. Don't make the mistake of trying one.,193
1,"You cannot compare the foreign film with the much wasted American version.It was not even worth the $.99 (cents) I paid to watch this movie.They should have named it ""The Girl with the Wagon Tattoo"" and made it into a comedy movie with Jack Black and Daisy Fuentes.Uugh.",270
1,"One of the worst soundtracks I've ever bought, simply for the fact that they put all the damn movie quotes into the songs.WHY?! Why would they do this?! This is a MUSICAL SCORE - not a damn sound board! I cannot express myself angrily enough. I am sorely sorry I spent money on this piece of crap. I wanted music, not the movie, that's why I bought the MUSIC.",359
1,"Rocafella has truly fell off. I've never really been a Bleek fan but this has to be Bleek's worst album. I did not think he can do worse than MADE but it looks like I was wrong! NEwayz if I were you i wouldn't even take my time to listen to the album if it weren't for one song ""Dear Summer"" and Bleeks not even on it just Hov.",327
